seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.515625,0.54375,0.4875
0,1,0.48125,0.4625,0.5
0,2,0.5,0.59375,0.40625
0,3,0.459375,0.50625,0.4125
0,4,0.46875,0.4875,0.45
0,5,0.503125,0.5125,0.49375
0,6,0.49375,0.49375,0.49375
0,7,0.440625,0.4,0.48125
0,8,0.459375,0.4,0.51875
0,9,0.43125,0.4125,0.45
0,10,0.434375,0.4125,0.45625
0,11,0.45,0.41875,0.48125
0,12,0.446875,0.375,0.51875
0,13,0.45,0.4375,0.4625
0,14,0.459375,0.44375,0.475
0,15,0.45625,0.4,0.5125
0,16,0.446875,0.3875,0.50625
0,17,0.4625,0.4375,0.4875
0,18,0.4625,0.44375,0.48125
0,19,0.475,0.45,0.5
0,20,0.46875,0.4125,0.525
0,21,0.4625,0.4,0.525
0,22,0.465625,0.425,0.50625
0,23,0.46875,0.425,0.5125
0,24,0.446875,0.40625,0.4875
0,25,0.45625,0.36875,0.54375
0,26,0.434375,0.38125,0.4875
0,27,0.46875,0.44375,0.49375
1,0,0.521875,0.51875,0.525
1,1,0.525,0.5,0.55
1,2,0.525,0.55625,0.49375
1,3,0.521875,0.49375,0.55
1,4,0.49375,0.48125,0.50625
1,5,0.496875,0.45625,0.5375
1,6,0.51875,0.51875,0.51875
1,7,0.48125,0.48125,0.48125
1,8,0.48125,0.46875,0.49375
1,9,0.46875,0.44375,0.49375
1,10,0.46875,0.48125,0.45625
1,11,0.459375,0.475,0.44375
1,12,0.4625,0.45625,0.46875
1,13,0.453125,0.45625,0.45
1,14,0.496875,0.45625,0.5375
1,15,0.453125,0.475,0.43125
1,16,0.490625,0.49375,0.4875
1,17,0.471875,0.4375,0.50625
1,18,0.475,0.4125,0.5375
1,19,0.4875,0.48125,0.49375
1,20,0.490625,0.46875,0.5125
1,21,0.471875,0.44375,0.5
1,22,0.478125,0.46875,0.4875
1,23,0.478125,0.49375,0.4625
1,24,0.490625,0.5,0.48125
1,25,0.475,0.475,0.475
1,26,0.503125,0.50625,0.5
1,27,0.5,0.53125,0.46875
2,0,0.5,0.53125,0.46875
2,1,0.5,0.5,0.5
2,2,0.478125,0.5125,0.44375
2,3,0.515625,0.51875,0.5125
