layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0.546875,0.55,0.54375
1,0.565625,0.575,0.55625
2,0.771875,0.775,0.76875
3,0.759375,0.75625,0.7625
4,0.765625,0.7875,0.74375
5,0.809375,0.83125,0.7875
6,0.834375,0.84375,0.825
7,0.840625,0.85625,0.825
8,0.89375,0.90625,0.88125
9,0.89375,0.9,0.8875
10,0.928125,0.91875,0.9375
11,0.93125,0.93125,0.93125
12,0.940625,0.93125,0.95
13,0.925,0.925,0.925
14,0.928125,0.925,0.93125
15,0.925,0.91875,0.93125
16,0.921875,0.91875,0.925
17,0.921875,0.9125,0.93125
18,0.925,0.9125,0.9375
19,0.928125,0.91875,0.9375
20,0.9375,0.9375,0.9375
21,0.953125,0.95,0.95625
22,0.965625,0.96875,0.9625
23,0.96875,0.96875,0.96875
24,0.971875,0.96875,0.975
25,0.971875,0.96875,0.975
26,0.975,0.975,0.975
27,0.971875,0.96875,0.975
28,0.975,0.975,0.975
29,0.978125,0.98125,0.975
30,0.96875,0.96875,0.96875
31,0.965625,0.9625,0.96875
32,0.96875,0.9625,0.975
33,0.959375,0.9625,0.95625
34,0.96875,0.98125,0.95625
35,0.978125,0.98125,0.975
36,0.975,0.975,0.975
37,0.965625,0.9625,0.96875
38,0.971875,0.9625,0.98125
39,0.975,0.96875,0.98125
40,0.965625,0.95625,0.975
41,0.959375,0.95625,0.9625
42,0.953125,0.95,0.95625
43,0.94375,0.95,0.9375
44,0.946875,0.9375,0.95625
45,0.946875,0.94375,0.95
46,0.91875,0.9125,0.925
47,0.921875,0.9125,0.93125
