seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.48125,0.51875,0.44375
0,1,0.496875,0.50625,0.4875
0,2,0.5,0.4875,0.5125
0,3,0.4625,0.5125,0.4125
0,4,0.471875,0.475,0.46875
0,5,0.46875,0.46875,0.46875
0,6,0.5,0.53125,0.46875
0,7,0.490625,0.5125,0.46875
0,8,0.5,0.5125,0.4875
0,9,0.5125,0.5125,0.5125
0,10,0.4875,0.44375,0.53125
0,11,0.49375,0.5,0.4875
0,12,0.509375,0.49375,0.525
0,13,0.475,0.44375,0.50625
0,14,0.465625,0.4625,0.46875
0,15,0.44375,0.44375,0.44375
0,16,0.459375,0.45625,0.4625
0,17,0.459375,0.45625,0.4625
0,18,0.434375,0.425,0.44375
0,19,0.4375,0.45,0.425
0,20,0.45625,0.45,0.4625
0,21,0.4875,0.4875,0.4875
0,22,0.490625,0.46875,0.5125
0,23,0.48125,0.475,0.4875
0,24,0.484375,0.45625,0.5125
0,25,0.46875,0.45625,0.48125
0,26,0.453125,0.43125,0.475
0,27,0.478125,0.4625,0.49375
0,28,0.453125,0.44375,0.4625
0,29,0.45,0.45,0.45
0,30,0.484375,0.4625,0.50625
0,31,0.446875,0.40625,0.4875
0,32,0.484375,0.4625,0.50625
0,33,0.496875,0.46875,0.525
0,34,0.4625,0.425,0.5
0,35,0.46875,0.425,0.5125
1,0,0.5,0.46875,0.53125
1,1,0.4875,0.4375,0.5375
1,2,0.5125,0.49375,0.53125
1,3,0.5375,0.53125,0.54375
1,4,0.51875,0.48125,0.55625
1,5,0.54375,0.49375,0.59375
1,6,0.55,0.54375,0.55625
1,7,0.525,0.5125,0.5375
1,8,0.49375,0.475,0.5125
1,9,0.5,0.5,0.5
1,10,0.478125,0.50625,0.45
1,11,0.48125,0.49375,0.46875
1,12,0.475,0.48125,0.46875
1,13,0.453125,0.44375,0.4625
1,14,0.446875,0.425,0.46875
1,15,0.46875,0.475,0.4625
1,16,0.45,0.4375,0.4625
1,17,0.471875,0.41875,0.525
1,18,0.46875,0.45625,0.48125
1,19,0.471875,0.46875,0.475
1,20,0.475,0.44375,0.50625
1,21,0.4875,0.475,0.5
1,22,0.5125,0.48125,0.54375
1,23,0.5375,0.51875,0.55625
1,24,0.54375,0.55,0.5375
