seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.5375,0.575,0.5
0,1,0.5,0.45625,0.54375
0,2,0.459375,0.44375,0.475
0,3,0.525,0.525,0.525
0,4,0.5125,0.5375,0.4875
0,5,0.48125,0.4625,0.5
0,6,0.471875,0.43125,0.5125
0,7,0.46875,0.46875,0.46875
0,8,0.4875,0.46875,0.50625
0,9,0.525,0.5125,0.5375
0,10,0.478125,0.4625,0.49375
0,11,0.425,0.38125,0.46875
0,12,0.45625,0.5,0.4125
0,13,0.465625,0.475,0.45625
0,14,0.465625,0.4625,0.46875
0,15,0.459375,0.4625,0.45625
0,16,0.515625,0.5125,0.51875
0,17,0.4625,0.4375,0.4875
0,18,0.46875,0.46875,0.46875
0,19,0.453125,0.4375,0.46875
0,20,0.465625,0.425,0.50625
0,21,0.453125,0.425,0.48125
0,22,0.490625,0.45625,0.525
0,23,0.515625,0.54375,0.4875
0,24,0.5,0.525,0.475
0,25,0.478125,0.4875,0.46875
0,26,0.475,0.45,0.5
0,27,0.5,0.475,0.525
0,28,0.475,0.48125,0.46875
0,29,0.475,0.48125,0.46875
1,0,0.534375,0.56875,0.5
1,1,0.509375,0.50625,0.5125
1,2,0.540625,0.54375,0.5375
1,3,0.54375,0.55625,0.53125
1,4,0.5375,0.525,0.55
1,5,0.4875,0.475,0.5
1,6,0.48125,0.475,0.4875
1,7,0.4625,0.4625,0.4625
1,8,0.496875,0.5375,0.45625
1,9,0.478125,0.4625,0.49375
1,10,0.5,0.50625,0.49375
1,11,0.478125,0.50625,0.45
1,12,0.4875,0.49375,0.48125
1,13,0.50625,0.53125,0.48125
1,14,0.50625,0.50625,0.50625
1,15,0.503125,0.5125,0.49375
1,16,0.503125,0.50625,0.5
1,17,0.509375,0.50625,0.5125
1,18,0.521875,0.53125,0.5125
1,19,0.5125,0.5125,0.5125
1,20,0.528125,0.5125,0.54375
1,21,0.53125,0.5,0.5625
1,22,0.525,0.51875,0.53125
1,23,0.51875,0.50625,0.53125
1,24,0.50625,0.51875,0.49375
1,25,0.471875,0.4875,0.45625
1,26,0.49375,0.5125,0.475
1,27,0.46875,0.4875,0.45
1,28,0.503125,0.5125,0.49375
1,29,0.490625,0.44375,0.5375
2,0,0.475,0.46875,0.48125
2,1,0.478125,0.4875,0.46875
2,2,0.496875,0.45,0.54375
2,3,0.484375,0.45,0.51875
2,4,0.478125,0.4625,0.49375
2,5,0.521875,0.5125,0.53125
2,6,0.53125,0.51875,0.54375
2,7,0.5375,0.5375,0.5375
2,8,0.5,0.49375,0.50625
2,9,0.490625,0.4625,0.51875
2,10,0.503125,0.5,0.50625
2,11,0.521875,0.51875,0.525
2,12,0.565625,0.55625,0.575
2,13,0.54375,0.54375,0.54375
2,14,0.503125,0.51875,0.4875
2,15,0.5,0.5,0.5
2,16,0.51875,0.5,0.5375
2,17,0.496875,0.49375,0.5
2,18,0.503125,0.5125,0.49375
2,19,0.5125,0.525,0.5
2,20,0.5125,0.51875,0.50625
2,21,0.521875,0.53125,0.5125
2,22,0.49375,0.5,0.4875
2,23,0.528125,0.55,0.50625
2,24,0.525,0.5125,0.5375
2,25,0.484375,0.49375,0.475
2,26,0.49375,0.4875,0.5
2,27,0.496875,0.49375,0.5
2,28,0.51875,0.51875,0.51875
2,29,0.528125,0.51875,0.5375
3,0,0.503125,0.4875,0.51875
3,1,0.50625,0.5125,0.5
3,2,0.490625,0.54375,0.4375
3,3,0.50625,0.51875,0.49375
3,4,0.496875,0.49375,0.5
3,5,0.509375,0.5375,0.48125
3,6,0.525,0.525,0.525
3,7,0.5125,0.5,0.525
3,8,0.528125,0.51875,0.5375
3,9,0.515625,0.46875,0.5625
3,10,0.534375,0.54375,0.525
3,11,0.471875,0.45,0.49375
3,12,0.496875,0.46875,0.525
3,13,0.4875,0.48125,0.49375
3,14,0.465625,0.45625,0.475
3,15,0.4875,0.475,0.5
3,16,0.5125,0.54375,0.48125
3,17,0.48125,0.525,0.4375
3,18,0.465625,0.4625,0.46875
3,19,0.446875,0.45625,0.4375
3,20,0.478125,0.5,0.45625
